data,preco_tecnico,preco_hibrido_base,preco_hibrido_bear,preco_hibrido_bull,ancora_dcf_base,ancora_dcf_bear,ancora_dcf_bull,intervalo_lo,intervalo_hi,previsao_media,previsao_std
2026-05-08,72.24998474121094,72.62943272724053,70.6298739251701,75.07025542851412,75.28652777342838,73.21381656484674,77.81664620047933,70.92486761745361,74.33399783702744,72.62943272724053,0.8696760764218957
2026-05-11,72.1976303100586,72.60153736803989,70.54304391657803,75.11662485264893,75.33358562493251,73.19762957901646,77.94331766704488,70.86980079646509,74.33327393961468,72.60153736803989,0.8835390671300019
2026-05-12,72.14773864746094,72.57653803316383,70.45912178547303,75.16601117417872,75.3806728899513,73.18144617199853,78.07019533191406,70.81603610592437,74.33703996040329,72.57653803316383,0.8982152689997245
2026-05-13,72.10038604736329,72.55447262710811,70.3781370661096,75.21846269528066,75.4277895868697,73.16526634300169,78.19727953074056,70.76351261116987,74.34543264304635,72.55447262710811,0.913755110172571
2026-05-14,72.05544738769531,72.53520428240236,70.29994979437218,75.27384652302284,75.47493573408406,73.14909009123487,78.32457059972438,70.71198702496324,74.35842153984149,72.53520428240236,0.9302128864485322
2026-05-15,72.01261901855469,72.51844490443058,70.22427402416066,75.33187211925781,75.52211135000232,73.13291741590719,78.45206887561285,70.6612126024121,74.37567720644905,72.51844490443058,0.9475675010298323
2026-05-18,71.97147674560547,72.50380802664691,70.15072958541914,75.39214547288417,75.5693164530439,73.1167483162279,78.57977469570145,70.61095496436617,74.39666108892764,72.50380802664691,0.9657413583064945
2026-05-19,71.93160552978516,72.49092147193346,70.07895139735705,75.45428585117378,75.61655106163971,73.10058279140647,78.70768839783466,70.56111327401719,74.42072966984973,72.49092147193346,0.9845960193450354
2026-05-20,71.89266967773438,72.47948651881833,70.00864655658431,75.51798751688678,75.66381519423223,73.08442084065251,78.835810320407,70.51164555388421,74.44732748375246,72.47948651881833,1.0040004923133268
2026-05-21,71.85442504882812,72.46928666256223,69.93960248980173,75.58302924541745,75.71110886927544,73.06826246317586,78.96414080236381,70.46253224691765,74.4760410782068,72.46928666256223,1.0238542936962107
2026-05-22,71.81679077148438,72.46024634561023,69.87174324866297,75.64933606662355,75.7584321052348,73.05210765818647,79.09268018320212,70.41396272499283,74.50652996622763,72.46024634561023,1.044022255417045
2026-05-25,71.77971954345703,72.45231931970449,69.80502137481821,75.71686333185531,75.80578492058743,73.0359564248945,79.22142880297166,70.36611920520636,74.53851943420261,72.45231931970449,1.0643878135194533
2026-05-26,71.74306640625,72.44537867088827,69.73931191291449,75.78548182124734,75.85316733382189,73.01980876251025,79.35038700227567,70.31902966606978,74.57172767570677,72.44537867088827,1.0848719412339285
2026-05-27,71.70669708251953,72.4393084744641,69.67450089533277,75.85507329722451,75.90057936343834,73.00366467024426,79.47955512227182,70.27269489668784,74.60592205224036,72.4393084744641,1.1054150907021705
2026-05-28,71.67045593261719,72.43397735479832,69.61045988707642,75.92550284615233,75.9480210279485,72.9875241473072,79.60893350467316,70.22718757594755,74.64076713364908,72.43397735479832,1.1259131524748762
2026-05-29,71.6342056274414,72.42927173605406,69.54707797532834,75.99665368441785,75.99549234587569,72.97138719290989,79.73852249174897,70.1828049488336,74.67573852327452,72.42927173605406,1.1461565240920721
2026-06-01,71.59764709472657,72.42494787743564,69.4841197396595,76.06827184254273,76.04299333575477,72.95525380626339,79.86832242632566,70.13971604915805,74.71017970571323,72.42494787743564,1.1659346062640754
2026-06-02,71.56028900146484,72.42061015008372,69.42120495583303,76.1399426402181,76.09052401613218,72.93912398657886,79.99833365178772,70.09802756555243,74.74319273461501,72.42061015008372,1.1849911145567806
2026-06-03,71.52142639160157,72.41569788853835,69.35779661641124,76.21107604592119,76.13808440556599,72.92299773306772,80.12855651207862,70.05807388515815,74.77332189191854,72.41569788853835,1.2028693894796945
